iter	Passed	Remaining
158	9558	38532
159	9610	38441
160	9673	38392
161	9737	38350
162	9796	38285
163	9857	38227
164	9924	38192
165	9989	38152
166	10053	38108
167	10108	38027
168	10175	37992
169	10235	37932
170	10301	37891
171	10364	37842
172	10424	37781
173	10492	37748
174	10557	37704
175	10618	37648
176	10670	37557
177	10728	37490
178	10784	37415
179	10836	37327
180	10900	37277
181	10963	37228
182	11026	37176
183	11086	37114
184	11150	37067
185	11214	37020
186	11276	36966
187	11337	36908
188	11397	36846
189	11461	36797
190	11518	36725
191	11580	36672
192	11639	36608
193	11701	36552
194	11764	36500
195	11828	36451
196	11882	36370
197	11944	36315
198	12009	36269
199	12077	36231
200	12140	36180
201	12197	36109
202	12250	36026
203	12314	35977
204	12364	35888
205	12434	35855
206	12535	35910
207	12697	36139
208	12803	36205
209	12895	36230
210	12977	36225
211	13039	36166
212	13118	36151
213	13192	36125
214	13259	36078
215	13319	36012
216	13385	35960
217	13441	35885
218	13505	35829
219	13565	35762
220	13626	35700
221	13687	35635
222	13751	35580
223	13816	35527
224	13877	35463
225	13933	35389
226	14001	35341
227	14061	35277
228	14113	35190
229	14167	35110
230	14232	35058
231	14298	35007
232	14362	34950
233	14445	34940
234	14530	34934
235	14607	34908
236	14684	34883
237	14766	34869
238	14841	34838
239	14914	34801
240	14982	34751
241	15060	34725
242	15131	34683
243	15206	34650
244	15273	34598
245	15348	34565
246	15430	34546
247	15501	34504
248	15576	34469
249	15665	34464
250	15739	34427
251	15829	34422
252	15889	34352
253	15941	34266
254	16003	34204
255	16068	34145
256	16132	34084
257	16196	34024
258	16271	33987
259	16333	33924
260	16414	33898
261	16494	33869
262	16568	33830
263	16649	33802
264	16796	33910
265	16878	33884
266	16945	33826
267	17014	33775
268	17068	33692
269	17133	33632
270	17191	33557
271	17254	33494
272	17317	33430
273	17366	33338
274	17438	33291
275	17524	33271
276	17606	33242
277	17675	33188
278	17735	33118
279	17788	33035
280	17852	32973
281	17917	32912
282	17975	32839
283	18032	32763
284	18096	32701
285	18167	32650
286	18236	32596
287	18293	32521
288	18360	32464
289	18423	32400
290	18486	32335
291	18540	32255
292	18605	32194
293	18669	32132
294	18733	32068
295	18799	32009
296	18851	31926
297	18915	31863
298	18984	31810
299	19045	31742
300	19109	31679
301	19195	31653
302	19265	31599
303	19339	31554
304	19414	31509
305	19473	31437
306	19543	31384
307	19609	31324
308	19672	31259
309	19726	31180
310	19789	31115
311	19848	31044
312	19912	30981
313	19977	30921
314	20040	30856
315	20101	30789
316	20164	30724
317	20229	30661
318	20285	30587
319	20349	30524
320	20414	30462
321	20489	30415
322	20555	30356
323	20630	30309
324	20702	30257
325	20768	30196
326	20839	30143
327	20896	30069
328	20955	29999
329	21009	29922
330	21086	29878
331	21149	29813
332	21213	29750
333	21277	29686
334	21343	29626
335	21409	29565
336	21454	29476
337	21509	29400
338	21573	29337
339	21646	29286
340	21720	29237
341	21789	29179
342	21862	29129
343	21932	29073
344	22000	29015
345	22052	28935
346	22107	28861
347	22158	28779
348	22225	28720
349	22285	28653
350	22334	28569
351	22392	28500
352	22449	28427
353	22511	28362
354	22571	28293
355	22632	28226
356	22694	28161
357	22756	28096
358	22834	28049
359	22899	27987
360	22961	27922
361	23024	27858
362	23090	27797
363	23161	27742
364	23222	27676
365	23279	27605
366	23329	27524
367	23384	27451
368	23445	27384
369	23502	27313
370	23556	27239
371	23622	27178
372	23686	27115
373	23778	27084
374	23843	27022
375	23912	26965
376	23979	26905
377	24039	26838
378	24107	26779
379	24180	26726
380	24256	26675
381	24322	26614
382	24389	26554
383	24453	26490
384	24515	26425
385	24573	26356
386	24650	26306
387	24712	26241
388	24780	26181
389	24870	26146
390	24937	26085
391	24998	26018
392	25051	25944
393	25112	25877
394	25174	25812
395	25236	25746
396	25302	25685
397	25360	25615
398	25419	25546
399	25485	25485
